crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2
84,178,1298,43880.0,45720.0,63.37,-3926.3,1,0.0064
101,187,1251,40120.0,45000.0,60.29,-3925.8,1,0.0064
55,155,1270,41640.0,47560.0,63.21,-3925.7,1,0.0064
127,204,1204,36360.0,43640.0,56.8,-3924.2,1,0.0064
130,204,1309,44760.0,43640.0,62.51,-3924.0,1,0.0064
83,177,1182,34600.0,45800.0,57.4,-3923.9,1,0.0064
291,309,1126,30120.0,35240.0,46.36,-3923.5,1,0.0064
296,311,1133,30680.0,35080.0,46.6,-3922.9,1,0.0064
142,212,1205,36440.0,43000.0,56.36,-3922.7,1,0.0064
100,186,1218,37480.0,45080.0,58.63,-3921.2,1,0.0064
269,298,1131,30520.0,36120.0,47.29,-3921.0,1,0.0064
140,211,1198,35880.0,43080.0,56.06,-3920.9,1,0.0064
312,322,1301,44120.0,34200.0,55.82,-3920.7,1,0.0064
72,168,1305,44440.0,46520.0,64.34,-3920.5,1,0.0064
136,209,1146,31720.0,43240.0,53.63,-3920.2,1,0.0064
71,167,1251,40120.0,46600.0,61.49,-3919.9,1,0.0064
105,188,1209,36760.0,44920.0,58.04,-3919.5,1,0.0064
143,213,1189,35160.0,42920.0,55.48,-3919.2,1,0.0064
74,169,1207,36600.0,46440.0,59.13,-3919.1,1,0.0064
94,184,1176,34120.0,45240.0,56.66,-3918.6,1,0.0064
352,361,1285,42840.0,31080.0,52.93,-3918.1,1,0.0064
77,170,1284,42760.0,46360.0,63.07,-3917.9,1,0.0064
126,204,1139,31160.0,43640.0,53.62,-3917.7,1,0.0064
170,226,1179,34360.0,41880.0,54.17,-3917.6,1,0.0064
97,185,1185,34840.0,45160.0,57.04,-3917.0,1,0.0064
157,220,1191,35320.0,42360.0,55.15,-3915.8,1,0.0064
340,349,1291,43320.0,32040.0,53.88,-3915.6,1,0.0064
152,218,1175,34040.0,42520.0,54.47,-3915.0,1,0.0064
294,310,1149,31960.0,35160.0,47.51,-3914.9,1,0.0064
248,282,1374,49960.0,37400.0,62.41,-3914.1,1,0.0064
169,225,1143,31480.0,41960.0,52.46,-3913.8,1,0.0064
86,179,1309,44760.0,45640.0,63.93,-3913.4,1,0.0064
73,169,1187,35000.0,46440.0,58.15,-3911.8,1,0.0064
99,186,1167,33400.0,45080.0,56.1,-3911.1,1,0.0064
92,183,1160,32840.0,45320.0,55.97,-3910.7,1,0.0064
355,363,1294,43560.0,30920.0,53.42,-3909.9,1,0.0064
348,358,1298,43880.0,31320.0,53.91,-3909.7,1,0.0064
54,154,1255,40440.0,47640.0,62.49,-3909.5,1,0.0064
75,170,1163,33080.0,46360.0,56.95,-3909.3,1,0.0064
256,286,1202,36200.0,37080.0,51.82,-3908.9,1,0.0064
53,152,1240,39240.0,47800.0,61.84,-3908.2,1,0.0064
65,163,1186,34920.0,46920.0,58.49,-3907.7,1,0.0064
133,207,1175,34040.0,43400.0,55.16,-3906.0,1,0.0064
58,158,1247,39800.0,47320.0,61.83,-3905.9,1,0.0064
76,170,1223,37880.0,46360.0,59.87,-3905.7,1,0.0064
67,164,1162,33000.0,46840.0,57.3,-3903.6,1,0.0064
346,352,1311,44920.0,31800.0,55.04,-3903.4,1,0.0064
70,166,1233,38680.0,46680.0,60.62,-3902.2,1,0.0064
121,200,1368,49480.0,43960.0,66.19,-3902.1,1,0.0064
51,149,1257,40600.0,48040.0,62.9,-3901.9,1,0.0064
159,222,1128,30280.0,42200.0,51.94,-3901.2,1,0.0064
186,236,1366,49320.0,41080.0,64.19,-3899.8,1,0.0064
40,137,1252,40200.0,49000.0,63.38,-3899.1,1,0.0064
