crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,
259,289,1123,29880,36840,47.43,-3927.9,1,0.0064,,,,,
120,200,1183,34680,43960,55.99,-3927.6,1,0.0064,7.22E-11,1.16E-10,1.45E-11,1.30E-11,
85,179,1243,39480,45640,60.35,-3927.4,1,0.0064,6.99E-11,9.90E-11,5.24E-12,1.06E-11,
327,337,1282,42600,33000,53.89,-3926.7,1,0.0064,,,,,
84,178,1298,43880,45720,63.37,-3926.3,1,0.0064,,,,,
101,187,1251,40120,45000,60.29,-3925.8,1,0.0064,,,,,
55,155,1270,41640,47560,63.21,-3925.7,1,0.0064,1.21E-10,4.09E-11,1.20E-11,7.59E-12,
127,204,1204,36360,43640,56.8,-3924.2,1,0.0064,4.43E-11,9.44E-11,1.11E-11,1.25E-11,
130,204,1309,44760,43640,62.51,-3924,1,0.0064,,,,,
83,177,1182,34600,45800,57.4,-3923.9,1,0.0064,1.16E-10,7.99E-11,1.49E-11,8.35E-12,
291,309,1126,30120,35240,46.36,-3923.5,1,0.0064,,,,,
296,311,1133,30680,35080,46.6,-3922.9,1,0.0064,,,,,
142,212,1205,36440,43000,56.36,-3922.7,1,0.0064,,,,,
100,186,1218,37480,45080,58.63,-3921.2,1,0.0064,1.04E-10,5.56E-11,6.31E-12,1.20E-11,
269,298,1131,30520,36120,47.29,-3921,1,0.0064,,,,,
140,211,1198,35880,43080,56.06,-3920.9,1,0.0064,,,,,
312,322,1301,44120,34200,55.82,-3920.7,1,0.0064,,,,,
72,168,1305,44440,46520,64.34,-3920.5,1,0.0064,,,,,
136,209,1146,31720,43240,53.63,-3920.2,1,0.0064,6.37E-11,1.10E-10,6.47E-12,3.78E-12,
71,167,1251,40120,46600,61.49,-3919.9,1,0.0064,6.48E-11,6.52E-11,7.74E-12,5.72E-12,
105,188,1209,36760,44920,58.04,-3919.5,1,0.0064,7.42E-11,5.72E-11,9.41E-12,8.39E-12,
143,213,1189,35160,42920,55.48,-3919.2,1,0.0064,6.35E-11,9.60E-11,8.88E-12,4.49E-12,
74,169,1207,36600,46440,59.13,-3919.1,1,0.0064,7.40E-11,7.42E-11,3.94E-12,1.11E-11,
94,184,1176,34120,45240,56.66,-3918.6,1,0.0064,1.08E-10,1.18E-10,3.45E-12,1.13E-11,
352,361,1285,42840,31080,52.93,-3918.1,1,0.0064,,,,,
77,170,1284,42760,46360,63.07,-3917.9,1,0.0064,,,,,
126,204,1139,31160,43640,53.62,-3917.7,1,0.0064,9.24E-11,1.14E-10,4.44E-12,1.71E-11,
170,226,1179,34360,41880,54.17,-3917.6,1,0.0064,,,,,
97,185,1185,34840,45160,57.04,-3917,1,0.0064,1.07E-10,1.24E-10,8.16E-12,8.07E-12,
157,220,1191,35320,42360,55.15,-3915.8,1,0.0064,,,,,
340,349,1291,43320,32040,53.88,-3915.6,1,0.0064,,,,,
152,218,1175,34040,42520,54.47,-3915,1,0.0064,9.72E-11,1.74E-10,3.81E-12,1.09E-11,
294,310,1149,31960,35160,47.51,-3914.9,1,0.0064,,,,,
248,282,1374,49960,37400,62.41,-3914.1,1,0.0064,,,,,
169,225,1143,31480,41960,52.46,-3913.8,1,0.0064,6.55E-11,1.42E-10,9.03E-12,7.18E-12,
86,179,1309,44760,45640,63.93,-3913.4,1,0.0064,,,,,
73,169,1187,35000,46440,58.15,-3911.8,1,0.0064,7.73E-11,1.08E-10,5.13E-12,8.08E-12,
99,186,1167,33400,45080,56.1,-3911.1,1,0.0064,6.27E-11,1.02E-10,7.58E-12,6.10E-12,
92,183,1160,32840,45320,55.97,-3910.7,1,0.0064,5.83E-11,6.74E-11,5.75E-12,3.96E-12,
355,363,1294,43560,30920,53.42,-3909.9,1,0.0064,,,,,
348,358,1298,43880,31320,53.91,-3909.7,1,0.0064,,,,,
54,154,1255,40440,47640,62.49,-3909.5,1,0.0064,1.06E-10,8.46E-11,9.61E-12,1.12E-11,
75,170,1163,33080,46360,56.95,-3909.3,1,0.0064,6.78E-11,1.07E-10,5.69E-12,8.29E-12,
256,286,1202,36200,37080,51.82,-3908.9,1,0.0064,,,,,
53,152,1240,39240,47800,61.84,-3908.2,1,0.0064,1.52E-10,5.92E-11,2.35E-11,1.34E-11,
65,163,1186,34920,46920,58.49,-3907.7,1,0.0064,5.65E-11,7.18E-11,5.31E-12,6.86E-12,
133,207,1175,34040,43400,55.16,-3906,1,0.0064,5.09E-11,1.20E-10,6.45E-12,5.74E-12,
58,158,1247,39800,47320,61.83,-3905.9,1,0.0064,8.94E-11,9.88E-11,1.85E-12,7.95E-12,
76,170,1223,37880,46360,59.87,-3905.7,1,0.0064,1.71E-10,1.90E-10,1.75E-11,1.93E-11,
67,164,1162,33000,46840,57.3,-3903.6,1,0.0064,1.81E-10,5.39E-11,2.96E-12,1.19E-11,
346,352,1311,44920,31800,55.04,-3903.4,1,0.0064,,,,,
70,166,1233,38680,46680,60.62,-3902.2,1,0.0064,6.33E-11,8.10E-11,7.06E-12,9.08E-12,
121,200,1368,49480,43960,66.19,-3902.1,1,0.0064,,,,,
51,149,1257,40600,48040,62.9,-3901.9,1,0.0064,6.03E-11,7.58E-11,3.23E-12,4.08E-12,
159,222,1128,30280,42200,51.94,-3901.2,1,0.0064,8.00E-11,8.50E-11,4.99E-13,9.47E-12,
186,236,1366,49320,41080,64.19,-3899.8,1,0.0064,,,,,
40,137,1252,40200,49000,63.38,-3899.1,1,0.0064,8.81E-11,5.92E-11,8.21E-12,8.57E-12,
60,160,1292,43400,47160,64.09,-3898.7,1,0.0064,,,,,
106,189,1198,35880,44840,57.43,-3898.3,1,0.0064,6.48E-11,8.98E-11,3.42E-12,5.23E-12,
63,161,1194,35560,47080,59,-3898.2,1,0.0064,7.73E-11,1.64E-10,7.20E-12,6.56E-12,
