Rank,crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,IceIndex,Priority
264,660,1302,511,-19080.0,-44200.0,48.14,-2909.1,1,0.0064,9.031561609695868e-11,1.6724255313960154e-10,9.50962312368242e-12,9.03721715517225e-12,0.5080985110594904,Medium Priority
265,388,759,132,-49400.0,-760.0,49.41,-2316.5,1,0.0064,1.1837546221027395e-10,2.2609036864906784e-10,8.893340057436472e-12,1.240206201624794e-11,0.5016255692357937,Medium Priority
266,454,1083,412,-27000.0,-26680.0,37.96,-2370.4,1,0.0064,5.737173930375761e-11,1.1154032558691184e-10,1.9580732434770765e-12,4.4576217717029465e-12,0.5010702323335078,Medium Priority
267,145,214,1154,32360.0,42840.0,53.69,-3942.8,1,0.0064,6.369995503296977e-11,1.1655811038568942e-10,9.782380634704158e-12,1.7867408941274476e-11,0.5002333077447316,Medium Priority
268,452,1080,320,-34360.0,-26440.0,43.36,-2391.6,1,0.0064,5.618671500284832e-11,9.611703100098623e-11,1.6446871642372685e-11,6.033651009373919e-12,0.4947585781663347,Medium Priority
269,207,251,18,-58520.0,39880.0,70.82,-1901.9,1,0.0064,9.279060853017995e-11,1.8063162077197603e-10,6.399426127901009e-12,6.387478653641088e-12,0.4934855709205788,Medium Priority
270,782,1489,8,-59320.0,-59160.0,83.78,-2269.9,1,0.0064,4.259150324092964e-11,7.876550106589164e-11,6.638225125837893e-12,4.9331641202576826e-12,0.4929359544797785,Medium Priority
271,720,1357,425,-25960.0,-48600.0,55.1,-2959.3,1,0.0064,1.0469933947598875e-10,2.0036343417739744e-10,1.1932961563321244e-11,9.469149422902667e-12,0.4908631442758198,Medium Priority
272,253,285,100,-51960.0,37160.0,63.88,-1923.3,1,0.0064,6.776014471743251e-11,1.1945754108122486e-10,1.7625663081832776e-11,1.2229061513435724e-11,0.4907196724477578,Medium Priority
273,524,1196,252,-39800.0,-35720.0,53.48,-2550.7,1,0.0064,5.7055356966762005e-11,1.1010535538868992e-10,5.428497928949838e-12,1.6366586905181002e-11,0.4896032812992507,Medium Priority
274,689,1326,500,-19960.0,-46120.0,50.25,-2912.7,1,0.0064,4.929073121884287e-11,9.370792336538256e-11,6.1854813805661815e-12,9.466674839864186e-12,0.488542648976489,Medium Priority
275,470,1114,235,-41160.0,-29160.0,50.44,-2525.0,1,0.0064,7.357450065859084e-11,1.39890390937758e-10,1.0173526951429146e-11,7.653312879274399e-12,0.4870421851004908,Medium Priority
276,112,195,1134,30760.0,44360.0,53.98,-3895.9,1,0.0064,5.956450610522522e-11,1.1815895484268424e-10,3.245266685589221e-12,3.524291969370097e-12,0.4866213383944994,Medium Priority
277,775,1482,77,-53800.0,-58600.0,79.55,-1921.3,1,0.0064,7.335177604206322e-11,1.4346061838477198e-10,7.35423267422819e-12,8.227159405127527e-12,0.4831660112985675,Medium Priority
278,50,149,1229,38360.0,48040.0,61.48,-3877.0,1,0.0064,9.27368737357881e-11,1.869030069601152e-10,4.303342404643473e-12,9.27120619859112e-12,0.4824860054950481,Medium Priority
279,628,1271,470,-22360.0,-41720.0,47.33,-2899.7,1,0.0064,8.2435350212684e-11,1.6092764620889708e-10,9.612066351194493e-12,1.2978056997126064e-11,0.4805613171574268,Medium Priority
280,87,179,1402,52200.0,45640.0,69.34,-3724.7,1,0.0064,7.114218242287862e-11,1.4341068610423946e-10,4.095902436662691e-12,6.303488547104719e-12,0.479050681332461,Medium Priority
281,659,1302,476,-21880.0,-44200.0,49.32,-2896.1,1,0.0064,1.2187974240962518e-10,2.5230359468331187e-10,4.241299585844294e-12,1.0584757896558994e-11,0.4732368807212717,Medium Priority
282,671,1313,379,-29640.0,-45080.0,53.95,-2929.3,1,0.0064,4.4133644655497406e-11,8.79648229257235e-11,4.498512673478672e-12,4.9118643180579005e-12,0.4722027560064328,Medium Priority
