crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX
24,121,1192,35400.0,50280.0,61.49,-3830.9,1,0.0064,8.496381376232874e-11,9.936473172045268e-11,1.0486199582271372e-11,8.279626984020183e-12
26,123,1305,44440.0,50120.0,66.98,-3828.8,1,0.0064,1.1743808703279512e-10,6.61717208805257e-11,1.6150468115649907e-11,1.617087887206825e-11
18,108,1199,35960.0,51320.0,62.66,-3824.8,1,0.0064,6.898351334605479e-11,3.631480394172826e-10,1.5052839183460343e-11,6.450304266408802e-12
158,221,1410,52840.0,42280.0,67.67,-3812.2,1,0.0064,6.110343481191549e-11,1.6137496894330638e-10,1.7937341065601964e-12,1.0706163386386967e-11
27,123,1314,45160.0,50120.0,67.46,-3808.2,1,0.0064,1.0087074231446279e-10,8.00724903049499e-11,1.2421257598871359e-11,8.805057377658798e-12
3,0,754,360.0,59960.0,59.96,-3804.8,1,0.0064,3.03799034540031e-11,2.2587515191574422e-11,2.139710067114442e-12,2.535190807284593e-12
22,117,1314,45160.0,50600.0,67.82,-3789.9,1,0.0064,8.999458817049444e-11,8.713653409930801e-11,7.906690926984261e-12,9.01158314636774e-12
16,105,1304,44360.0,51560.0,68.02,-3779.4,1,0.0064,7.338654683941569e-11,1.6327739160715282e-10,6.868746890709154e-12,5.80213264586571e-12
23,120,1323,45880.0,50360.0,68.13,-3777.3,1,0.0064,8.436156634372692e-11,8.765479314609692e-11,7.758458805962043e-12,7.567216818438194e-12
29,125,1330,46440.0,49960.0,68.21,-3771.1,1,0.0064,5.829299543069766e-11,9.60754115153506e-11,1.0830064275935136e-11,1.1387804761675556e-11
4,0,781,2520.0,59960.0,60.01,-3760.4,1,0.0064,3.2826644180694586e-11,2.868178784753983e-11,2.179152908468596e-12,4.9064797363884685e-12
20,113,1329,46360.0,50920.0,68.86,-3751.3,1,0.0064,5.5241165808350694e-11,5.71165337248658e-11,7.518963750230423e-12,7.476099600500774e-12
13,101,1324,45960.0,51880.0,69.31,-3746.6,1,0.0064,1.0784763360138784e-10,1.4416623450586028e-10,8.668214583618106e-12,9.134013857770018e-12
10,93,1308,44680.0,52520.0,68.95,-3728.5,1,0.0064,8.805824125435179e-11,6.443286876267607e-11,3.66703325690998e-12,5.713452280731168e-12
14,104,1334,46760.0,51640.0,69.66,-3727.8,1,0.0064,6.565854110407443e-11,9.023166935850924e-11,4.174321045075091e-12,1.0503792280402989e-11
87,179,1402,52200.0,45640.0,69.34,-3724.7,1,0.0064,7.114218242287862e-11,1.4341068610423946e-10,4.095902436662691e-12,6.303488547104719e-12
2,0,680,-5560.0,59960.0,60.22,-3129.1,1,0.0064,3.9114649019733605e-11,9.527864608394053e-11,3.7602278929460547e-11,7.306053331768148e-12
1,0,630,-9560.0,59960.0,60.72,-3034.2,1,0.0064,4.8694749621436266e-11,1.217728695657172e-10,5.6430637072890636e-12,4.749664637287987e-12
728,1373,423,-26120.0,-49880.0,56.31,-3027.1,1,0.0064,9.895995134456824e-11,2.19448015315038e-10,9.96967178951147e-12,9.704184504577553e-12
513,1186,403,-27720.0,-34920.0,44.58,-2981.1,1,0.0064,3.5871441927959324e-10,1.7000741092676463e-10,5.938002867189596e-11,5.345287407143573e-11
707,1342,450,-23960.0,-47400.0,53.11,-2963.5,1,0.0064,7.905701787658259e-11,1.6117300549733926e-10,9.38658612642529e-12,7.715111535744335e-12
720,1357,425,-25960.0,-48600.0,55.1,-2959.3,1,0.0064,1.0469933947598875e-10,2.0036343417739744e-10,1.1932961563321244e-11,9.469149422902667e-12
571,1231,428,-25720.0,-38520.0,46.32,-2956.3,1,0.0064,2.971129176021492e-10,1.1875278538298062e-10,1.5312028034397684e-10,4.956060908889448e-11
714,1351,445,-24360.0,-48120.0,53.93,-2955.7,1,0.0064,5.851803763778918e-11,1.5221654492414416e-10,1.869148412436683e-11,1.4491015158657472e-11
712,1347,488,-20920.0,-47800.0,52.18,-2952.3,1,0.0064,4.432967326550852e-10,1.4182861829414859e-10,3.7628920812604605e-11,2.220328781943337e-11
548,1214,431,-25480.0,-37160.0,45.06,-2949.5,1,0.0064,2.6968647801051127e-11,1.3109063834448875e-10,2.5741858731415097e-12,2.5836108426269266e-12
559,1224,344,-32440.0,-37960.0,49.93,-2946.0,1,0.0064,9.466058492613172e-11,8.839289022954944e-11,3.93685049837611e-11,1.2192246344466806e-11
727,1372,395,-28360.0,-49800.0,57.31,-2945.7,1,0.0064,1.2833044349402909e-10,2.2332474758357532e-10,1.7179870373529305e-11,1.7030555785058077e-11
567,1228,446,-24280.0,-38280.0,45.33,-2942.3,1,0.0064,2.9936003675956613e-10,1.2044364117169692e-10,9.824627916765748e-11,2.7317422629513644e-11
647,1290,530,-17560.0,-43240.0,46.67,-2938.2,1,0.0064,5.666478397614583e-11,1.4612969168048548e-10,2.9184495532047494e-12,7.376859539887093e-12
582,1237,435,-25160.0,-39000.0,46.41,-2937.4,1,0.0064,2.3207215316123356e-10,1.9124375694179463e-10,3.1824879537234445e-11,2.9629586978385796e-11
624,1267,332,-33400.0,-41400.0,53.19,-2936.9,1,0.0064,2.2803571531060382e-10,1.0290717583627539e-10,2.0718581364431717e-11,2.1692017973529157e-11
675,1316,451,-23880.0,-45320.0,51.23,-2936.9,1,0.0064,6.841216482200707e-11,2.0019330637666144e-10,7.385421267602776e-12,7.931399460814337e-12
519,1191,419,-26440.0,-35320.0,44.12,-2936.7,1,0.0064,9.267571432491906e-11,6.186164080990153e-11,1.0201196658232714e-11,1.1987319990802714e-11
641,1284,361,-31080.0,-42760.0,52.86,-2936.2,1,0.0064,4.5975494245009685e-11,1.26644195130865e-10,1.4368070969106306e-11,6.891608377718184e-12
583,1238,372,-30200.0,-39080.0,49.39,-2935.4,1,0.0064,8.279914254227805e-11,6.646015682232331e-11,1.893092800575591e-11,1.1527623473839288e-11
721,1357,464,-22840.0,-48600.0,53.7,-2934.5,1,0.0064,4.4125172266040735e-11,1.5168463707304622e-10,2.4385840569074446e-11,1.2927956448416378e-11
680,1320,395,-28360.0,-45640.0,53.73,-2934.0,1,0.0064,6.578933231526918e-11,1.3691058009523968e-10,1.2766767677752087e-11,7.093416132253338e-12
645,1288,372,-30200.0,-43080.0,52.61,-2933.8,1,0.0064,2.33741914712482e-10,1.4479058230154607e-10,5.910964079314239e-11,2.022823054892431e-11
717,1354,486,-21080.0,-48360.0,52.75,-2933.5,1,0.0064,3.4788624758697035e-10,2.4216698091272804e-10,1.266891886536614e-11,4.407666245875852e-11
655,1297,500,-19960.0,-43800.0,48.13,-2933.0,1,0.0064,3.127292522164815e-11,1.5473562708923083e-10,8.485763307308769e-12,2.2389853859827724e-11
599,1251,326,-33880.0,-40120.0,52.51,-2932.3,1,0.0064,2.4215843219543837e-10,5.998457980327386e-11,1.5045570692096e-11,2.505226061322308e-11
591,1245,414,-26840.0,-39640.0,47.87,-2931.8,1,0.0064,1.7169003718731088e-10,1.3467449377913001e-10,5.2484239176919794e-11,2.5966201411264933e-11
